Timestamp,Gender,Country of residence,Location of residence:,Number of years of education,Education,Domain of studies,Profession,Work (Full time/ part time/ not working),Marital state: Married or with partner,Domain of studies,Number of children,Age of children,How many applications that are being used do you have in your smartphone/cellular phone?,"Do you use your smartphone/cellular phone for activities that can be performed also with other means, for example, camera, calculator, 0tes, reading book, payments?",Do you go to bed with the smartphone / cellular phone at your side?,Do you use your smartphone/cellular phone in the middle of the night?,"Do you use your smartphone/cellular phone in parallel with other activities, such as driving, cooking, watching TV?",Do you take your smartphone/cellular phone with you to the restroom?,"Frequency of using the smartphone/cellular phone: on the average, how many times do you use it each hour during the day?",Do you use the location-based services of the smartphone/cellular phone?,"How many social networks (e.g. facebook, twitter) are defined on your smartphone/cellular phone?",Do you consider the smartphone/cellular phone an indispensable tool for your work?,Do you consider the smartphon/cellular phone an indispensable tool for your social life?,Do you consider yourself as addicted to the use of the smartphone/cellular phone?,[A general sense of good physical health],[Pain],"[Work (outside the home or in the home, including household)]",[Activity (outside the home or inside the home. not including work activity)],"[Strength and ability to perform the activities of eating, sleeping, etc. ]","[Strength and ability to perform activities in the family (as a partner, parent, sibling, son/daughter)]",[Intimate relations with partner],"[Relations with friends,  acquaintances, relatives]",[Taking care of yourself and your external appearance],[Strength and ability to cope with the tasks of everyday life],[Independence  in functioning and activity in daily life],"[Sense of lack of control over situations, feeling that you cannot determine anything about what happens]",[Ability to concentrate on the task you are performing],"[Ability to think, solve problems]","[Sense of uncertainty, unclarity]","[Anxiety, fear]","[Depression, sadness]","[Tension, restlessness]",[Hope],[Pleasure],"[Mnotivation to make efforts, to continue doing things]",[Satisfaction of life in general]
4/28/2015 12:53:27,female,USA,Other,16,University: Bachelor's degree,English,county government clercal,Do not working,2,English,2,33; 41,10,1,0,1,2,1,1,1,1,0,0,1,1,1,2,2,2,2,0,3,3,2,3,3,3,3,3,3,3,2,2,2,2,3
4/28/2015 13:05:10,male,United Kingdom,City,17,Professional school,Accounting,Sales Assistant,Patial,0,Accounting,0,0,10,2,0,0,0,1,5,0,2,1,1,1,1,1,3,2,2,2,0,1,2,2,2,2,2,2,0,0,0,1,1,1,2,0
4/28/2015 13:55:40,male,India,City,21,Master's degree,Business,IT,Full time,0,Business,0,0,80,2,0,2,1,1,8,2,2,1,1,1,2,2,2,3,2,2,0,1,1,2,1,1,2,1,2,3,3,3,0,2,1,1
4/28/2015 14:41:13,female,United States,Suburb,16,University: Bachelor's degree,Education,Office manager,Full time,2,Education,1,11,5,1,0,2,2,0,2,1,1,0,0,2,3,2,2,2,3,3,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3
4/28/2015 16:02:54,male,USA,Village,14,Professional school,Business Management,Hospitality,Do not working,0,Business Management,0,0,16,2,1,2,1,1,2,2,3,0,1,2,2,2,2,2,2,2,2,2,3,3,3,2,3,3,2,2,2,2,2,2,3,2
4/29/2015 12:23:16,male,USA,Suburb,14,Professional school,physical therapy,student,Patial,0,physical therapy,0,0,15,2,0,0,0,1,5,1,1,0,0,1,3,2,2,2,2,2,0,2,3,2,3,2,2,2,1,2,2,1,2,2,2,2
4/29/2015 12:47:17,male,USA,City,14,Professional school,Massage Therapy,Massage Therapy,Full time,2,Massage Therapy,0,0,14,1,0,2,1,1,10,0,1,1,1,2,2,3,3,3,3,3,3,3,3,3,3,0,3,3,3,3,3,3,3,2,3,3
4/29/2015 13:16:25,male,United States,Village,14,Secondary school,Psychology,IT,Full time,2,Psychology,1,23,10,1,0,2,1,1,6,0,1,1,0,2,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,2,3,2,2,3,3,3
4/29/2015 13:26:25,female,United States,City,16,University: Bachelor's degree,Psychology,Consultant,Full time,0,Psychology,0,0,8,1,0,1,2,0,1,1,1,1,1,2,2,1,3,3,2,2,0,2,3,2,2,2,2,2,1,1,1,1,2,1,2,2
4/29/2015 13:49:09,male,USA,City,12,Secondary school,general,self-employed,Patial,0,general,0,0,2,0,1,2,2,0,2,0,1,0,0,2,3,2,2,2,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2
4/29/2015 14:03:50,female,USA,City,14,Professional school,Language,Artist,Full time,0,Language,1,41,65,2,0,2,2,0,1,1,1,1,0,1,2,1,3,3,3,3,0,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2
4/29/2015 14:21:20,male,United States,Village,14,Secondary school,political science,jewelry designer,Patial,2,political science,1,9,25,2,0,1,2,1,2,1,1,1,1,2,2,2,1,2,2,2,3,2,2,2,3,2,3,3,2,2,2,2,1,1,2,1
4/29/2015 14:41:49,female,USA,City,13,Secondary school,general,retail manager,Full time,2,general,4,15; 11; 10; 5,26,2,0,1,1,1,4,2,3,1,1,1,2,2,3,3,3,3,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,2
4/29/2015 14:50:20,female,USA,City,15,Professional school,Healthcare,CNA,Full time,2,Healthcare,3,"6,12,15",25,1,1,2,1,1,2,1,2,0,0,1,2,1,3,3,3,3,2,2,2,3,3,2,2,2,2,2,1,1,2,2,3,2
4/29/2015 14:51:09,female,united states,City,15,Professional school,graphic design,graphic designer,Full time,2,graphic design,2,1; 22,15,2,1,1,1,1,10,2,3,1,1,2,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3
4/29/2015 14:54:07,male,USA,City,14,Secondary school,Communications,Retail Cashier,Full time,0,Communications,3,"13, 14, 17",50,2,1,1,2,1,4,1,3,0,0,2,3,2,3,3,3,3,1,2,2,3,3,1,3,3,1,1,1,1,2,2,2,2
4/29/2015 15:09:12,female,USA,City,15,Secondary school,Accounting,Housewife,Do not working,2,Accounting,1,2.5 months,50,2,0,1,1,1,7,0,1,0,1,2,1,2,3,3,2,3,1,1,1,2,3,1,2,2,2,2,2,2,3,2,3,2
4/29/2015 15:18:12,female,USA,City,14,Professional school,Science & Tech0logy,Sales,Patial,2,Science & Tech0logy,1,4,30,2,0,0,1,1,10,0,4,1,1,1,1,3,2,1,2,3,2,1,1,2,2,2,3,3,2,1,2,2,3,2,3,2
4/29/2015 15:29:06,female,USA,Other,14,Professional school,Administrative,Administrative,Full time,0,Administrative,0,0,30,2,1,2,1,0,1,0,2,1,1,2,3,3,3,3,3,3,0,3,3,3,3,3,3,3,0,2,3,2,3,3,3,3
4/29/2015 16:09:34,male,India,Suburb,18,University: Bachelor's degree,Commerce,Sales Supervisor,Full time,2,Commerce,2,"""9;13""",8,1,0,1,0,2,3,2,2,1,1,0,2,3,2,2,3,3,2,3,2,3,3,2,3,3,0,3,3,3,2,2,3,3
4/29/2015 16:21:46,male,India,City,21,Master's degree,Social Sciences,Human Resources,Full time,2,Social Sciences,1,8,6,1,0,1,1,0,6,1,3,1,1,1,2,2,3,2,3,3,2,2,2,3,2,2,3,3,2,2,3,2,3,2,3,2
4/29/2015 17:02:26,female,US,Suburb,16,University: Bachelor's degree,biology,nanny,Patial,2,biology,3,"21,24,27",19,2,0,2,1,0,3,1,1,1,0,2,3,3,2,2,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
4/29/2015 17:07:37,female,USA,City,16,Professional school,Computer Science Tech0logy,n/a,Patial,0,Computer Science Tech0logy,0,,8,2,0,1,2,1,5,2,1,0,1,2,2,2,2,1,2,0,0,0,2,2,2,1,2,2,2,2,1,2,2,2,2,2
4/29/2015 17:24:05,female,USA,City,14,Professional school,Nursing,Service,Patial,2,Nursing,2,"""17"" ""28""",10,1,0,2,2,0,10,1,5,0,1,2,1,1,2,2,2,2,3,2,2,2,2,2,3,3,2,2,2,2,2,2,2,2
4/29/2015 17:42:20,female,USA,Suburb,13,Secondary school,General Education,Commission sales associate,Full time,2,General Education,2,"9, 6",5,2,0,0,0,1,1,0,2,1,1,0,1,2,3,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1
4/29/2015 17:43:12,male,USA,Suburb,16,University: Bachelor's degree,Business Administration,Account Manager,Full time,0,Business Administration,0,0,12,1,0,1,1,1,3,1,2,0,1,1,2,3,2,2,2,2,1,3,2,2,3,2,2,2,2,1,1,2,2,1,2,2
4/29/2015 17:46:50,female,USA,City,16,University: Bachelor's degree,Biology,inside engineering,Full time,2,Biology,0,0,15,1,0,2,2,1,0.5,1,2,0,0,2,3,3,3,3,3,3,3,2,2,3,3,3,3,3,3,2,2,3,3,3,3,3
4/29/2015 17:55:50,female,United States,Other,14,Professional school,Medical Information Tech0logy,Unemployed,Do not working,0,Medical Information Tech0logy,0,0,20,2,0,0,0,2,2,1,1,0,1,1,3,3,2,3,3,3,3,2,3,3,3,3,3,3,1,1,1,1,2,2,3,1
4/29/2015 18:22:09,female,United States,City,13,Secondary school,general,stay at home mom,Do not working,2,general,2,"3, 10",20,2,0,1,1,1,5,2,3,1,1,1,2,2,2,3,3,3,2,1,2,3,3,2,3,3,2,1,1,1,2,1,2,2
4/29/2015 18:24:45,female,USA,City,12,Secondary school,Business,Data Entry,Full time,0,Business,0,0,5,2,1,2,2,0,1,1,2,0,0,2,3,3,3,2,2,2,2,2,3,3,3,0,3,3,3,2,2,2,2,2,1,2
4/29/2015 18:52:11,female,United States,Suburb,16,University: Bachelor's degree,Computer Science,Office Manager,Patial,2,Computer Science,0,0,20,1,1,1,1,1,3,0,1,1,1,1,2,1,3,3,2,2,1,2,1,1,2,1,1,2,2,2,2,1,1,1,1,1
4/29/2015 19:34:01,female,USA,Suburb,14,Secondary school,Accounting,ACCOUNTING CLERK,Do not working,2,Accounting,2,"8,10",23,2,0,2,1,1,3,2,1,0,1,1,3,2,0,2,2,3,2,2,3,3,2,2,2,3,2,2,2,2,2,2,3,2
4/29/2015 21:24:39,female,United States of America,City,14,Secondary school,General,Retail Associate,Full time,2,General,2,"4,8",10,1,1,1,1,2,2,1,2,0,0,2,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3
4/29/2015 22:23:44,male,US,Village,16,University: Bachelor's degree,Business,manager,Full time,0,Business,0,0,120,1,1,1,1,1,3,2,4,0,1,1,3,3,3,2,3,2,3,3,2,3,3,2,3,3,3,3,3,2,3,3,3,3
4/29/2015 22:42:16,male,USA,City,16,University: Bachelor's degree,psychology,insurance processor,Full time,0,psychology,0,0,5,1,1,1,1,1,1,1,1,1,1,2,1,1,3,1,2,0,0,1,1,2,2,0,2,2,0,0,0,0,0,1,2,1
4/29/2015 23:56:01,female,Canada,City,16,University: Bachelor's degree,Edcation,Teacher,Full time,2,Edcation,1,6,3,1,1,2,2,0,0,1,0,0,0,2,3,2,2,2,3,3,2,2,3,3,3,3,3,3,2,2,3,2,3,2,3,3
4/30/2015 1:24:13,female,USA,Suburb,12,Secondary school,HIgh School,virtual assistant,Patial,2,HIgh School,2,"""9"" ""14""",12,1,0,0,1,1,2,1,3,0,1,1,2,2,2,1,3,3,3,2,2,3,3,2,1,2,1,3,3,3,2,3,3,3
4/30/2015 1:51:27,female,United States,Suburb,16,University: Bachelor's degree,Accounting,Quality Control Verifications,Patial,2,Accounting,2,13;14,6,2,0,1,1,1,5,2,2,1,1,2,1,3,3,2,2,3,1,1,2,2,2,3,3,3,3,3,3,3,2,2,2,2
4/30/2015 2:00:03,male,usa,City,14,Secondary school,psychology,transcriber,Full time,0,psychology,0,0,3,2,1,2,2,0,15,2,2,0,1,2,2,2,3,2,1,1,3,2,2,2,2,2,2,2,1,0,0,2,2,2,2,2
4/30/2015 3:58:34,male,USA,City,16,University: Bachelor's degree,Communications,0ne,Do not working,0,Communications,0,0,1,0,1,2,2,0,0,0,0,0,0,2,1,1,0,1,1,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0
4/30/2015 5:33:38,male,India,Suburb,16,University: Bachelor's degree,Electronics,Computer Science Hardware Engineer,Full time,0,Electronics,0,0,4,2,1,1,1,2,2,1,4,1,1,1,2,2,3,2,3,3,2,2,3,3,3,2,3,2,2,3,3,2,3,3,2,3
4/30/2015 6:50:16,male,USA,City,12,Secondary school,N/A,Construction,Full time,0,N/A,0,0,6,2,0,2,1,0,5,1,2,1,1,1,3,3,3,2,2,1,1,2,3,3,3,3,3,3,3,3,3,3,2,2,3,3
4/30/2015 12:36:48,female,USA,Suburb,16,University: Bachelor's degree,Business,Medical Administration,Full time,2,Business,2,"12, 18",16,1,1,2,1,1,1,1,2,0,1,2,2,3,3,2,3,3,3,2,2,2,3,2,2,2,2,2,2,2,2,2,3,2
4/30/2015 16:01:34,male,United States,Suburb,16,University: Bachelor's degree,Accounting,Retail associate,Patial,0,Accounting,0,0,7,1,0,2,1,1,3,2,2,0,1,2,2,2,2,2,2,3,1,2,2,2,2,2,2,2,2,1,3,2,2,2,2,2
4/30/2015 18:21:05,male,Usa,City,16,University: Bachelor's degree,Finance,Financial Advisor,Full time,0,Finance,0,0,14,2,0,1,1,1,3,1,2,0,1,2,3,2,2,2,3,3,2,2,3,3,3,3,3,3,2,3,2,2,2,2,2,2
4/30/2015 19:02:26,male,USA,Suburb,14,Secondary school,AA,Unemployed,Do not working,2,AA,0,NA,10,1,0,1,2,2,45,1,0,0,1,1,2,3,2,2,3,2,3,2,3,3,3,3,3,3,2,2,2,2,2,2,2,2
4/30/2015 20:58:29,female,USA,Other,12,Secondary school,0ne,Small Business Owner,Patial,2,0ne,2,24;27,1,1,1,2,2,1,0,0,1,0,0,2,3,1,2,2,3,3,2,2,3,3,3,2,3,3,2,2,3,2,2,2,3,2
05/01/2015 04:08,female,USA,City,16,University: Bachelor's degree,Humanities,Writer,Full time,2,Humanities,0,,2,2,1,2,2,0,1,1,1,0,0,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
05/01/2015 15:42,female,United States,City,16,University: Bachelor's degree,Accounting,Human Resources Associate,Full time,0,Accounting,0,0,33,2,0,1,1,1,2,1,2,0,1,1,2,2,3,2,3,3,3,3,2,3,3,2,2,3,1,1,2,1,2,2,3,2
