How many applications that are being used do you have in your smartphone/cellular phone?,"Do you use your smartphone/cellular phone for activities that can be performed also with other means, for example, camera, calculator, 0tes, reading book, payments?",Do you go to bed with the smartphone / cellular phone at your side?,Do you use your smartphone/cellular phone in the middle of the night?,"Do you use your smartphone/cellular phone in parallel with other activities, such as driving, cooking, watching TV?",Do you take your smartphone/cellular phone with you to the restroom?,"Frequency of using the smartphone/cellular phone: on the average, how many times do you use it each hour during the day?",Do you use the location-based services of the smartphone/cellular phone?,"How many social networks (e.g. facebook, twitter) are defined on your smartphone/cellular phone?",Do you consider the smartphone/cellular phone an indispensable tool for your work?,Do you consider the smartphon/cellular phone an indispensable tool for your social life?,Do you consider yourself as addicted to the use of the smartphone/cellular phone?,[A general sense of good physical health],[Pain],"[Work (outside the home or in the home, including household)]",[Activity (outside the home or inside the home. not including work activity)],"[Strength and ability to perform the activities of eating, sleeping, etc. ]","[Strength and ability to perform activities in the family (as a partner, parent, sibling, son/daughter)]",[Intimate relations with partner],"[Relations with friends,  acquaintances, relatives]",[Taking care of yourself and your external appearance],[Strength and ability to cope with the tasks of everyday life],[Independence  in functioning and activity in daily life],"[Sense of lack of control over situations, feeling that you cannot determine anything about what happens]",[Ability to concentrate on the task you are performing],"[Ability to think, solve problems]","[Sense of uncertainty, unclarity]","[Anxiety, fear]","[Depression, sadness]","[Tension, restlessness]",[Hope],[Pleasure],"[Mnotivation to make efforts, to continue doing things]",[Satisfaction of life in general]
1,1,2,1,0,1,0,1,0,0,0,1,1,1,2,2,2,2,0,3,3,2,3,3,3,3,3,3,3,2,2,2,2,3
1,2,2,2,2,1,1,0,0,2,2,1,1,1,3,2,2,2,0,1,2,2,2,2,2,2,0,0,0,1,1,1,2,0
3,2,2,0,1,1,2,2,0,2,2,1,2,2,2,3,2,2,0,1,1,2,1,1,2,1,2,3,3,3,0,2,1,1
0,1,2,0,0,0,0,1,0,0,0,0,3,2,2,2,3,3,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3
2,2,0,0,1,1,0,2,1,0,2,0,2,2,2,2,2,2,2,2,3,3,3,2,3,3,2,2,2,2,2,2,3,2
1,2,2,2,2,1,1,1,0,0,0,1,3,2,2,2,2,2,0,2,3,2,3,2,2,2,1,2,2,1,2,2,2,2
1,1,2,0,1,1,2,0,0,2,2,0,2,3,3,3,3,3,3,3,3,3,3,0,3,3,3,3,3,3,3,2,3,3
1,1,2,0,1,1,2,0,0,2,0,0,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,2,3,2,2,3,3,3
1,1,2,1,0,0,0,1,0,2,2,0,2,1,3,3,2,2,0,2,3,2,2,2,2,2,1,1,1,1,2,1,2,2
0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,2,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2
